id,empleado,fecha,categoria,ciudad,importe,moneda,descripcion,justificante
G-001,Luis Pardo,2026-09-04,dietas,Barcelona,78.00,EUR,Cena de trabajo,S
G-002,Luis Pardo,2026-09-04,dietas,Barcelona,78.00,EUR,Cena de trabajo con Elena Soto directora de compras de Nortek para cerrar la renovación del contrato,S
G-003,Marta Gil,2026-09-05,dietas,Sevilla,28.00,EUR,Comida de trabajo en La Tasquita,N
G-004,Marta Gil,2026-09-05,dietas,Sevilla,29.00,EUR,Comida de trabajo en La Tasquita,N
G-005,Jorge Sanz,2026-09-10,transporte,Madrid,64.00,EUR,Taxi desde la calle Serrano hasta la estación de Atocha; no había alternativa de transporte público,S
G-006,Marta Gil,2026-09-12,dietas,Sevilla,86.00,EUR,Comida con el equipo de compras de Alvasa para presentar la nueva gama,S
G-007,Clara Vega,2026-09-14,dietas,Madrid,145.00,EUR,Cena de trabajo en Zalacaín con dos representantes de Telefónica,S
E-001,Ana Ruiz,2026-06-10,alojamiento,Madrid,210.00,EUR,"Hotel una noche durante TECMA, Feria Internacional de Urbanismo y Medio Ambiente",S
E-002,Ana Ruiz,2026-09-22,alojamiento,Madrid,210.00,EUR,"Hotel una noche durante TECMA, Feria Internacional de Urbanismo y Medio Ambiente",S
E-003,Clara Vega,2026-06-11,alojamiento,Bilbao,190.00,EUR,Hotel una noche durante la Feria Internacional del Calzado de Bilbao,S
